,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,total_points,hp,attack,defense,sp_attack,sp_defense,speed
23,18,Mega Pidgeot,1,Normal,Bird Pokémon,2,normal,Flying,2.2,50.5,1,No Guard,579,83,80,80,135,80,121
24,19,Rattata,1,Normal,Mouse Pokémon,1,normal,,0.3,3.5,3,Run Away,253,30,,35,25,35,72
25,19,Alolan Rattata,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,253,30,56,35,25,35,
26,20,Raticate,1,Normal,Mouse Pokémon,1,normal,,0.7,18.5,3,Run Away,413,55,81,60,50,70,97
27,20,Alolan Raticate,1,Normal,Mouse Pokémon,2,Dark,normal,0.7,25.5,3,Gluttony,413,,71,70,,80,77
28,21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2,2,Keen Eye,262,40,60,,31,31,70
29,22,Fearow,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38,2,Keen Eye,442,65,90,65,61,61,100
30,23,Ekans,1,Normal,Snake Pokémon,1,Poison,,2,6.9,3,Intimidate,288,35,60,44,40,54,55
31,24,Arbok,1,Normal,Cobra Pokémon,1,Poison,,3.5,65,3,Intimidate,448,60,95,69,65,79,80
32,25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,2,Static,320,35,55,40,50,50,90
33,25,Partner Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,1,,430,45,80,50,75,60,120
34,26,Raichu,1,Normal,Mouse Pokémon,1,Electric,,0.8,30,2,Static,485,60,90,55,90,80,110
35,26,Alolan Raichu,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21,1,Surge Surfer,485,60,85,50,95,85,110
36,27,Sandshrew,1,Normal,Mouse Pokémon,1,Grund,,0.6,12,2,Sand Veil,300,50,75,85,20,30,40
37,27,Alolan Sandshrew,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40,2,Snow Cloak,300,50,75,90,10,35,40
38,28,Sandslash,1,Normal,Mouse Pokémon,1,Grund,,1,29.5,2,Sand Veil,450,75,100,110,45,55,65
39,28,Alolan Sandslash,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55,2,Snow Cloak,450,75,100,120,25,65,65
40,29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7,3,Poison Point,275,,47,52,40,40,41
41,30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20,3,Poison Point,365,,62,67,55,55,56
42,31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60,3,Poison Point,505,,92,87,75,85,76
43,32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9,3,Poison Point,273,,57,40,40,40,50
44,33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,365,,72,57,55,55,65
45,34,Nidoking,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62,3,Poison Point,505,,102,77,85,75,85
46,35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,323,,45,48,60,65,35
47,36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40,3,Cute Charm,483,,70,73,95,90,60
48,37,Vulpix,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,299,,41,40,50,65,65
49,37,Alolan Vulpix,1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,299,,41,40,50,65,65
50,38,Ninetales,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,505,,76,75,81,100,100
51,38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,505,,67,75,81,100,109
52,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,270,,45,20,45,25,20
53,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,1,12,3,Cute Charm,435,,70,45,85,50,45
54,41,Zubat,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,245,,45,35,30,40,55
55,42,Golbat,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55,2,Inner Focus,455,,80,70,65,75,90
56,43,Oddish,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,320,,50,55,75,65,30
57,44,Gloom,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,395,,65,70,85,75,40
58,45,Vileplume,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,490,,80,85,110,90,50
59,46,Paras,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,285,35,70,55,45,55,25
60,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,Grass,1,29.5,3,Effect Spore,405,60,95,80,60,80,30
61,48,Venonat,1,Normal,Insect Pokémon,2,Bug,Poison,1,30,3,Compound Eyes,305,60,55,50,40,55,45
62,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,450,70,65,60,90,75,90
63,50,Diglett,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,265,10,55,25,35,45,95
64,50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1,3,Sand Veil,265,10,55,30,35,45,90
65,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,425,35,100,50,50,70,120
66,51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,425,35,100,60,50,70,110
67,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,290,40,45,35,40,40,90
68,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,290,40,35,,50,40,90
69,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,290,,65,55,40,40,40
70,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,,1,32,3,Limber,440,,70,60,65,65,115
71,53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,,1.1,33,3,Fur Coat,440,65,60,,75,65,115
72,54,Psyduck,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,320,50,52,48,65,50,55
73,55,Golduck,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,500,80,82,78,95,80,85
74,56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28,3,Vital Spirit,305,40,80,35,35,45,70
75,57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,,1,32,3,Vital Spirit,455,65,105,60,60,70,95
76,58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,,0.7,19,3,Intimidate,350,55,70,45,70,50,60
77,59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,,1.9,155,3,Intimidate,555,90,110,80,100,80,95
78,60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,300,,50,40,40,40,90
79,61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,,1,20,3,Water Absorb,385,,65,65,50,50,90
80,62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54,3,Water Absorb,510,,95,95,70,90,70
81,63,Abra,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,310,,20,15,105,55,90
82,64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,400,,35,30,120,70,105
83,65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,,1.5,48,3,Synchronize,500,,50,45,135,95,120
84,65,Mega Alakazam,1,Normal,Psi Pokémon,1,Psychic,,1.2,48,1,Trace,600,55,50,65,175,105,150
85,66,Machop,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,305,70,80,,35,35,35
86,67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,405,80,100,,50,60,45
87,68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130,3,Guts,505,90,130,,65,85,55
88,69,Bellsprout,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4,2,Chlorophyll,300,50,75,,70,30,40
89,70,Weepinbell,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1,6.4,2,Chlorophyll,390,65,90,,85,45,55
90,71,Victreebel,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,490,80,105,,100,70,70
91,72,Tentacool,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,335,40,40,35,50,100,70
92,73,Tentacruel,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55,3,Clear Body,515,80,70,65,80,120,100
93,74,Geodude,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20,3,Rock Head,300,40,80,100,30,30,20
94,74,Alolan Geodude,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,300,40,80,,30,30,20
95,75,Graveler,1,Normal,Rock Pokémon,2,Rock,Ground,1,105,3,Rock Head,390,55,95,115,45,45,35
96,75,Alolan Graveler,1,Normal,Rock Pokémon,2,Rock,Electric,1,110,3,Magnet Pull,390,55,95,115,45,45,35
97,76,Golem,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300,3,Rock Head,495,80,120,130,55,65,45
98,76,Alolan Golem,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316,3,Magnet Pull,495,80,120,130,55,65,45
99,77,Ponyta,1,Normal,Fire Horse Pokémon,1,Fire,,1,30,3,Run Away,410,50,85,55,65,65,90
100,77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,1,Psychic,,0.8,24,3,Run Away,410,50,85,55,65,65,90
101,78,Rapidash,1,Normal,Fire Horse Pokémon,1,Fire,,1.7,95,3,Run Away,500,65,100,70,80,80,105
102,78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80,3,Run Away,500,65,100,70,80,80,105
103,79,Slowpoke,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36,3,Oblivious,315,90,65,65,40,40,15
104,80,Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,490,95,75,110,100,80,30
105,80,Mega Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,2,120,1,Shell Armor,590,95,75,180,130,80,30
106,81,Magnemite,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6,3,Magnet Pull,325,25,35,70,95,55,45
107,82,Magneton,1,Normal,Magnet Pokémon,2,Electric,Steel,1,60,3,Magnet Pull,465,50,60,95,120,70,70
108,83,Farfetch'd,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15,3,Keen Eye,377,52,90,55,58,62,60
109,83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,1,Fighting,,0.8,42,2,Steadfast,377,,95,55,58,62,55
110,84,Doduo,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,310,,85,,35,35,75
111,85,Dodrio,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,470,,110,70,60,60,110
112,86,Seel,1,Normal,Sea Lion Pokémon,1,Water,,1.1,90,3,Thick Fat,325,,45,55,45,70,45
113,87,Dewgong,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120,3,Thick Fat,475,90,70,80,70,95,70
114,88,Grimer,1,Normal,Sludge Pokémon,1,Poison,,0.9,30,3,Stench,325,80,80,50,40,50,25
115,88,Alolan Grimer,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42,3,Poison Touch,325,80,80,50,40,50,25
116,89,Muk,1,Normal,Sludge Pokémon,1,Poison,,1.2,30,3,Stench,500,105,105,75,65,100,50
117,89,Alolan Muk,1,Normal,Sludge Pokémon,2,Poison,Dark,1,52,3,Poison Touch,500,105,105,75,65,100,50
118,90,Shellder,1,Normal,Bivalve Pokémon,1,Water,,0.3,4,3,Shell Armor,305,30,65,100,45,25,40
119,91,Cloyster,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,525,50,95,180,85,45,70
120,92,Gastly,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,310,30,35,30,100,35,80
121,93,Haunter,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,405,45,50,45,115,55,95
122,94,Gengar,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,500,60,65,60,130,75,110
123,94,Mega Gengar,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,600,60,65,80,170,95,130
124,95,Onix,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210,3,Rock Head,385,35,45,160,30,45,70
125,96,Drowzee,1,Normal,Hypnosis Pokémon,1,Psychic,,1,32.4,3,Insomnia,328,60,48,45,43,90,42
126,97,Hypno,1,Normal,Hypnosis Pokémon,1,Psychic,,1.6,75.6,3,Insomnia,483,,73,70,73,115,67
127,98,Krabby,1,Normal,River Crab Pokémon,1,Water,,0.4,6.5,3,Hyper Cutter,325,,105,90,25,25,50
128,99,Kingler,1,Normal,Pincer Pokémon,1,Water,,1.3,60,3,Hyper Cutter,475,,130,,50,50,75
129,100,Voltorb,1,Normal,Ball Pokémon,1,Electric,,0.5,10.4,3,Soundproof,330,,30,50,55,55,100
130,101,Electrode,1,Normal,Ball Pokémon,1,Electric,,1.2,66.6,3,Soundproof,490,60,50,70,80,80,150
131,102,Exeggcute,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,325,60,40,80,60,45,40
132,103,Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Psychic,2,120,2,Chlorophyll,530,95,95,85,125,75,55
133,103,Alolan Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,530,95,105,85,125,75,45
134,104,Cubone,1,Normal,Lonely Pokémon,1,Ground,,0.4,6.5,3,Rock Head,320,50,50,95,40,50,35
135,105,Marowak,1,Normal,Bone Keeper Pokémon,1,Ground,,1,45,3,Rock Head,425,60,80,110,50,80,45
136,105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1,34,3,Cursed Body,425,60,80,110,50,80,45
137,106,Hitmonlee,1,Normal,Kicking Pokémon,1,Fighting,,1.5,49.8,3,Limber,455,50,120,53,35,110,87
138,107,Hitmonchan,1,Normal,Punching Pokémon,1,Fighting,,1.4,50.2,3,Keen Eye,455,50,105,79,35,110,76
139,108,Lickitung,1,Normal,Licking Pokémon,1,Normal,,1.2,65.5,3,Own Tempo,385,90,55,75,60,75,30
140,109,Koffing,1,Normal,Poison Gas Pokémon,1,Poison,,0.6,1,3,Levitate,340,40,65,95,60,45,35
141,110,Weezing,1,Normal,Poison Gas Pokémon,1,Poison,,1.2,9.5,3,Levitate,490,65,90,120,85,70,60
142,110,Galarian Weezing,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3,16,3,Levitate,490,65,90,120,85,70,60
143,111,Rhyhorn,1,Normal,Spikes Pokémon,2,Grund,Rock,1,115,3,Lightning Rod,345,,85,95,30,30,25
144,112,Rhydon,1,Normal,Drill Pokémon,2,Grund,Rock,1.9,120,3,Lightning Rod,485,105,130,120,45,45,40
145,113,Chansey,1,Normal,Egg Pokémon,1,Normal,,1.1,34.6,3,Natural Cure,450,250,5,,35,105,50
146,114,Tangela,1,Normal,Vine Pokémon,1,Grass,,1,35,3,Chlorophyll,435,65,55,115,100,40,60
147,115,Kangaskhan,1,Normal,Parent Pokémon,1,Normal,,2.2,80,3,Early Bird,490,105,95,80,40,80,90
148,115,Mega Kangaskhan,1,Normal,Parent Pokémon,1,Normal,,2.2,100,1,Parental Bond,590,105,125,100,60,100,100
149,116,Horsea,1,Normal,Dragon Pokémon,1,water,,0.4,8,3,Swift Swim,295,30,40,70,70,25,60
150,117,Seadra,1,Normal,Dragon Pokémon,1,water,,1.2,25,3,Poison Point,440,55,65,95,95,45,85
151,118,Goldeen,1,Normal,Goldfish Pokémon,1,water,,0.6,15,3,Swift Swim,320,45,67,60,35,50,63
152,119,Seaking,1,Normal,Goldfish Pokémon,1,water,,1.3,39,3,Swift Swim,450,80,92,65,65,80,68
153,120,Staryu,1,Normal,Star Shape Pokémon,1,Water,,0.8,34.5,3,Illuminate,340,30,45,55,70,55,85
154,121,Starmie,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80,3,Illuminate,520,,75,85,100,85,115
155,122,Mr. Mime,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,460,,45,,100,120,90
156,122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,460,,65,,90,90,100
157,123,Scyther,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56,3,Swarm,500,,110,,55,80,105
158,124,Jynx,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,455,,50,,115,95,95
159,125,Electabuzz,1,Normal,Electric Pokémon,1,Electric,,1.1,30,2,Static,490,,83,,95,85,105
160,126,Magmar,1,Normal,Spitfire Pokémon,1,Fire,,1.3,44.5,2,Flame Body,495,,95,,100,85,93
161,127,Pinsir,1,Normal,Stag Beetle Pokémon,1,Bug,,1.5,55,3,Hyper Cutter,500,,125,100,55,70,85
162,127,Mega Pinsir,1,Normal,Stag Beetle Pokémon,2,Bug,Flying,1.7,59,1,Aerilate,600,65,155,120,65,90,105
163,128,Tauros,1,Normal,Wild Bull Pokémon,1,Normal,,1.4,88.4,3,Intimidate,490,75,100,95,40,70,110
164,129,Magikarp,1,Normal,Fish Pokémon,1,Water,,0.9,10,2,Swift Swim,200,20,10,55,15,20,80
165,130,Gyarados,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235,2,Intimidate,540,95,125,79,60,100,81
166,130,Mega Gyarados,1,Normal,Atrocious Pokémon,2,Water,Dark,6.5,305,1,Mold Breaker,640,95,155,109,70,130,81
167,131,Lapras,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220,3,Water Absorb,535,130,85,80,85,95,60
168,132,Ditto,1,Normal,Transform Pokémon,1,Normal,,0.3,4,2,Limber,288,48,48,48,48,48,48
169,133,Eevee,1,Normal,Evolution Pokémon,1,normal,,0.3,6.5,3,Run Away,325,55,55,50,45,65,55
170,133,Partner Eevee,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,1,,435,65,75,70,65,85,75
171,134,Vaporeon,1,Normal,Bubble Jet Pokémon,1,Water,,1,29,2,Water Absorb,525,130,65,60,110,95,65
172,135,Jolteon,1,Normal,Lightning Pokémon,1,Electric,,0.8,24.5,2,Volt Absorb,525,65,65,60,110,95,130
173,136,Flareon,1,Normal,Flame Pokémon,1,Fire,,0.9,25,2,Flash Fire,525,65,130,60,95,110,65
174,137,Porygon,1,Normal,Virtual Pokémon,1,Normal,,0.8,36.5,3,Trace,395,65,60,70,85,75,40
175,138,Omanyte,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,355,35,40,,90,55,35
176,139,Omastar,1,Normal,Spiral Pokémon,2,Rock,Water,1,35,3,Swift Swim,495,70,60,125,115,70,55
177,140,Kabuto,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,355,30,80,90,55,45,55
178,141,Kabutops,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,495,60,115,105,65,70,80
179,142,Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59,3,Rock Head,515,80,105,65,60,75,130
180,142,Mega Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,Flying,2.1,79,1,Tough Claws,615,80,135,85,70,95,150
181,143,Snorlax,1,Normal,Sleeping Pokémon,1,Normal,,2.1,460,3,Immunity,540,160,110,65,65,110,30
182,144,Articuno,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,580,90,85,100,95,125,85
183,145,Zapdos,1,Sub Legendary,Electric Pokémon,2,Electric,Flying,1.6,52.6,2,Pressure,580,,90,85,125,90,100
184,146,Moltres,1,Sub Legendary,Flame Pokémon,2,Fire,Flying,2,60,2,Pressure,580,,100,90,125,85,90
185,147,Dratini,1,Normal,Dragon Pokémon,1,Dragon,,1.8,3.3,2,Shed Skin,300,,64,45,50,50,50
186,148,Dragonair,1,Normal,Dragon Pokémon,1,Dragon,,4,16.5,2,Shed Skin,420,,84,65,70,70,70
187,149,Dragonite,1,Normal,Dragon Pokémon,2,Dragon,Flying,2.2,210,2,Inner Focus,600,,134,95,100,100,80
188,150,Mewtwo,1,Legendary,Genetic Pokémon,1,Psychic,,2,122,2,Pressure,680,,110,90,154,90,130
189,150,Mega Mewtwo X,1,Legendary,Genetic Pokémon,2,Psychic,Fighting,2.3,127,1,Steadfast,780,,190,100,154,100,130
190,150,Mega Mewtwo Y,1,Legendary,Genetic Pokémon,1,Psychic,,1.5,33,1,Insomnia,780,,150,,194,120,140
191,151,Mew,1,Mythical,New Species Pokémon,1,Psychic,,0.4,4,1,Synchronize,600,100,100,100,100,100,100
192,152,Chikorita,2,Normal,Leaf Pokémon,1,Grass,,0.9,6.4,2,Overgrow,318,45,49,65,49,65,45
193,153,Bayleef,2,Normal,Leaf Pokémon,1,Grass,,1.2,15.8,2,Overgrow,405,60,62,80,63,80,60
194,154,Meganium,2,Normal,Herb Pokémon,1,Grass,,1.8,100.5,2,Overgrow,525,80,82,100,83,100,80
195,155,Cyndaquil,2,Normal,Fire Mouse Pokémon,1,Fire,,0.5,7.9,2,Blaze,309,39,52,,60,50,65
196,156,Quilava,2,Normal,Volcano Pokémon,1,Fire,,0.9,19,2,Blaze,405,58,64,,80,65,80
197,157,Typhlosion,2,Normal,Volcano Pokémon,1,Fire,,1.7,79.5,2,Blaze,534,78,84,,109,85,100
198,158,Totodile,2,Normal,Big Jaw Pokémon,1,Water,,0.6,9.5,2,Torrent,314,50,65,,44,48,43
199,159,Croconaw,2,Normal,Big Jaw Pokémon,1,Water,,1.1,25,2,Torrent,405,,80,,59,63,58
200,160,Feraligatr,2,Normal,Big Jaw Pokémon,1,Water,,2.3,88.8,2,Torrent,530,,105,,79,83,78
201,161,Sentret,2,Normal,Scout Pokémon,1,normal,,0.8,6,3,Run Away,215,,46,,35,45,20
202,162,Furret,2,Normal,Long Body Pokémon,1,normal,,1.8,32.5,3,Run Away,415,,76,,45,55,90
203,163,Hoothoot,2,Normal,Owl Pokémon,2,normal,Flying,0.7,21.2,3,Insomnia,262,,30,30,36,56,50
204,164,Noctowl,2,Normal,Owl Pokémon,2,normal,Flying,1.6,40.8,3,Insomnia,452,100,50,50,86,96,70
205,165,Ledyba,2,Normal,Five Star Pokémon,2,Bug,Flying,1,10.8,3,Swarm,265,40,20,30,40,80,55
206,166,Ledian,2,Normal,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,390,55,35,50,55,110,85
207,167,Spinarak,2,Normal,String Spit Pokémon,2,Bug,Poson,0.5,8.5,3,Swarm,250,,60,40,40,40,30
208,168,Ariados,2,Normal,Long Leg Pokémon,2,Bug,Poson,1.1,33.5,3,Swarm,400,,90,,60,70,40
209,169,Crobat,2,Normal,Bat Pokémon,2,Poison,Flying,1.8,75,2,Inner Focus,535,,90,80,70,80,130
210,170,Chinchou,2,Normal,Angler Pokémon,2,Water,Electric,0.5,12,3,Volt Absorb,330,75,38,38,56,56,67
211,171,Lanturn,2,Normal,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,460,125,58,58,76,76,67
212,172,Pichu,2,Normal,Tiny Mouse Pokémon,1,Electric,,0.3,2,2,Static,205,20,40,,35,35,60
213,173,Cleffa,2,Normal,Star Shape Pokémon,1,Fairy,,0.3,3,3,Cute Charm,218,50,25,,45,55,15
214,174,Igglybuff,2,Normal,Balloon Pokémon,2,Normal,Fairy,0.3,1,3,Cute Charm,210,,30,,40,20,15
215,175,Togepi,2,Normal,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,245,,20,65,40,65,20
216,176,Togetic,2,Normal,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,405,,40,85,80,105,40
